公司名称,薪资,工作岗位,要求工作经验,要求学历,公司地址,公司人数,标签1,标签2,标签3,招聘链接
北京字节跳动,20-35K,数据分析,3-5年,本科,成都·武侯区·新会展中心,10000人以上,数据分析,SQL,Python,https://www.zhipin.com/job_detail/bdf22ea35fb3c7a00XNy2Nq5FFI~.html?lid=89AapUgEF39.search.1&securityId=hTFZvFwYAfIR1-X1rHrtZMBGh5xInsGYvf1agLjsP6o2bh9SL4IdWLDrMCcd1903zxyz4DxBdRFPCjKpPj1OxiQV-1Dhr6Fkr74iRmqX7E6NwKw~
观想科技,15-25K,数据分析师,5-10年,本科,成都·双流区·华阳,10000人以上,数据分析,数据挖掘,数据仓库,https://www.zhipin.com/job_detail/1ad3f41f675393e50HF73Ni8E1Q~.html?lid=89AapUgEF39.search.2&securityId=mwJnHtulMZ1W0-r1yzp8VMxROq_LBKysPKaw7_tXYKbgYISxl8uS0zsHs93JFt-_QLJwLq-vxDvOBBSgDXaFhaVnF8ybikSDQNFe8uYzkYBh7rNuEg~~
四川好爱家,8-10K,数据分析师,3-5年,本科,成都·武侯区·红牌楼,10000人以上,数据分析,数据处理,,https://www.zhipin.com/job_detail/a340ffe62c41f66103B739q8ElI~.html?lid=89AapUgEF39.search.3&securityId=1pkcbFe5H1Uz8-61Fqpi6ipU2olwkaaaolYmSou8fEpDrNQT3m8P9Hwu0rEkLwQeKlJhIVq_17TrUxa1cKm_aE3NoRRF3nPfMu5EXcDgqhRUJZsg
千百棉,4-6K,数据分析师,经验不限,大专,成都·龙泉驿区·十陵,10000人以上,数据分析,,,https://www.zhipin.com/job_detail/d1be7e91b9dc436a1nR60ty7GFBT.html?lid=89AapUgEF39.search.4&securityId=dHNndJEKwbH9U-n13C6MC9zTAT2JMWBJO399aXI6RIMcpGdHxWojI_BXQDrIq0zOARF3VqDPaii_1pyRm7xAcl77rU6edh19p_ys47_A6BS7Vy6fpMcl
先机战略定位,10-11K,数据分析师,3-5年,本科,成都·锦江区·红星路,10000人以上,数据分析,数据挖掘,商业分析,https://www.zhipin.com/job_detail/d93b85defbef5fd333x82tS8FlU~.html?lid=89AapUgEF39.search.5&securityId=5dPVbgBqWojgE-61xq8Zs4pOo3Sk6dq4qCD-1S2lAPeVMhzjSnGzSxK8cyW-Txj004m-3IVekEHVtVG-Z3GFjOywCY9FNBVFOZhHOtZ_lKmx6uo8
旷惟基金,1-2K,数据分析师,1-3年,硕士,成都·锦江区·沙河,10000人以上,数据分析,Python,R语言,https://www.zhipin.com/job_detail/813aed36158790601XR-3929FVZW.html?lid=89AapUgEF39.search.6&securityId=epOqrXIeZKoka-Q1LkFmrd5BtcI9dMPVpbF-Uj48uxzCOZL3REu_MuHIhCNlp60xI3jRlVCXlqKmtfKv7nN4s18cui_qf2n0ISCUXukMbF0crHneXoI~
蚂蚁金服,20-40K,数据分析师,3-5年,本科,成都·武侯区·新会展中心,10000人以上,数据分析,ETL,商业分析,https://www.zhipin.com/job_detail/b55c94a2b9a776b733x60t-7FFs~.html?lid=89AapUgEF39.search.7&securityId=07VD9ajq8ifEx-a1CSpnwV8VQ7ogy2-WLuSu_5kRGxnhqYJi-UfPSwVlHWxvdB6Hxcq1LnMPOei7msO7NApdddkmoKtJwPmQM1ItMOLiq720
易指生活,6-10K,数据分析师,1-3年,本科,成都·龙泉驿区·大面,10000人以上,数据分析,,,https://www.zhipin.com/job_detail/e8e8db461f172cf31nV62ti6FVVX.html?lid=89AapUgEF39.search.8&securityId=OED2WFxEL0Z83-Q18m_1IViGcStHzezB5N7zJkdiLik1DucjWvAHIcar6Onanu1UDU5pfYRJgFF99M00nsW9kj4ERPoArHPw5470qgDRE0h4OE5d8w~~
瑞倪维,5-8K,数据分析师,1年以内,高中,成都·武侯区·新会展中心,10000人以上,数据分析,,,https://www.zhipin.com/job_detail/25a18812161b828b33x_3921GFQ~.html?lid=89AapUgEF39.search.9&securityId=NqkbvCa7KypJc-j1WjpIeKXcMwGerDCqxARsetF6tHAGDgH36eh1B3YxPwGfNe2sa3Pef5uoV1pcz0xjAGnaaGc4LFsW3RY7pnO38FqmoVgau4w_-w~~
无糖信息(NoSugar),5-8K,数据分析师,1-3年,本科,成都·武侯区·新会展中心,10000人以上,数据分析,,,https://www.zhipin.com/job_detail/eee290beb2f0300133Bz2N60EVA~.html?lid=89AapUgEF39.search.10&securityId=lk_3diN7XMyAm-c1dt3pGartnh1e9TUYG1hEpr2FJD3xtzQY5K3VACArUVHXQg1OyA1OQGIaO0q9Cg-jx6dh6nAmldKpdW4LNjxINtK1fkYKulRQ
嘉谊互娱,7-12K,数据分析师,3-5年,本科,成都·武侯区·新会展中心,10000人以上,SQL,Python,Excel,https://www.zhipin.com/job_detail/f4260e1e62c737551nZ73t25GVBY.html?lid=89AapUgEF39.search.11&securityId=6fiYxdoU1i7h5-x1U9XjRotfSwaHCi-HhdMWVjSc83MbWH3n-i_j2sKA-zAAMt8trI-S2dwI0S_198gPx4nsL-_gaPe6Tw9V08jLhTUXPVHfn1Fm
西瓜创客,12-20K·14薪,数据分析师,3-5年,本科,成都,10000人以上,数据分析,SQL,Excel,https://www.zhipin.com/job_detail/65a1ae46e1e261b91XV52964FVJT.html?lid=89AapUgEF39.search.12&securityId=bspeGre9_svwH-c1CrrUmNiNvbaqN1eXjJVRmpnO2NQewizUVx4K-3qvYca9MhiePfZWVc8NlMLkYtBRjfDLRtQpSga0fbXN0XdGdpmqPpvdL8EQ
四川运泽,10-15K,数据分析师,1-3年,本科,成都·武侯区·环球中心,10000人以上,数据分析,数据挖掘,数据处理,https://www.zhipin.com/job_detail/270df636f5b2cca11nJ52N-9GFs~.html?lid=89AapUgEF39.search.13&securityId=L3bPq3RDuU80r-51ym9iC9DOQVXqI8hHCwyEnSumZX3rcktZ4VRhr0Vcm7U44VIGLdcg-KBteb_d5BeBmz66tUbhu45bzmXntr9thjhqShuT
BBD,9-14K·13薪,数据分析师,1-3年,本科,成都·武侯区·桂溪,10000人以上,数据分析,数据仓库,商业分析,https://www.zhipin.com/job_detail/6e2cba8d2e316c6d3nJ-3N65GVM~.html?lid=89AapUgEF39.search.14&securityId=72hDheSStMQHt-R1tyUmKqvF6drwk5h8LyUNyjo1SofbvuEbQWPNvYL5FKxK3W-FxhRz5mRwAWU7nMRmvD8ADUnbqqxC5laeblCa50265Byotg~~
创力科技,12-18K,数据分析师,3-5年,本科,成都·武侯区·金融城,10000人以上,数据分析,,,https://www.zhipin.com/job_detail/ed489accdc4296d50HV809y7FVU~.html?lid=89AapUgEF39.search.15&securityId=sfDgN8cnWahKs-J1qBnVvD4WlvJOIAlTUGsSDCSF6VK3oBmvvNW5BxsraMSdfhC0AipMGYOUb6iQR8ElUkb3fOlL_qP0Jeo9wfN0fYEMPmf8FKA~
北京景气经济研究院,10-20K,数据分析师,3-5年,本科,成都·武侯区·航空路,10000人以上,数据分析,数据库开发,,https://www.zhipin.com/job_detail/48c89b276177c9851XF-39-0F1M~.html?lid=89AapUgEF39.search.16&securityId=6mLItCRvU7giG--1N59e9N5Y587jlq1DTl0hGp2ufJOhxSWd1GzhDvAfTK1qLvdbqvc5lcvixCjuWgYReR9Qjl84r9lx88Hgza1ZAk-F9G-1
成都智信电子,6-8K,数据分析师,1-3年,本科,成都·成华区·建设路,10000人以上,数据分析,sql,kettle,https://www.zhipin.com/job_detail/d223d6b895a4be5a03R829y_FFI~.html?lid=89AapUgEF39.search.17&securityId=niqVmD4Ay3PcL-R1T6WXLnVw8OuyD8tJw2vg1QtAFMtF-EOpjuq2CRYSNPlNJD0OsQ3L_Yqz0pIeFrljcX7g38XvVEGMi1Eed1G-03vePrnlbeg~
今日头条,12-20K,数据分析师-成都,3-5年,本科,成都·成华区·万年场,10000人以上,Python,SQL,Power BI,https://www.zhipin.com/job_detail/2f8de7bf8f8a8a611XZ_3NS0EVFX.html?lid=89AapUgEF39.search.18&securityId=7Ln69T9DY7XfH-41LgEwIcpMHxG-LUlkiAa9fZFeCZDp-jshSok_RFpXK53OTSRbRYrTRZWgn2u53rwj5ucH8VnWHGKhZQ8EvpEjWmZMf4BE4fYn
往深商务信息咨询,4-8K·13薪,直播数据分析师,1-3年,大专,成都·武侯区·新会展中心,10000人以上,抖音直播电商,数据分析,投放,https://www.zhipin.com/job_detail/02ee28fb47347c1b1nZ409-4FldY.html?lid=89AapUgEF39.search.19&securityId=MTL95PQ7qYoMr-f1P9Kx4E7FOxLk8K2OCAt1gstVPfIWOT_BrGc3yjkT9zE0Su3CZQmjGTgn7Rt8gRz2dWvvrnkJGgREsFTx-1zdhtpq6xdtfAGy
数数科技,16-25K·14薪,高级数据分析师,3-5年,本科,成都·武侯区·新会展中心,10000人以上,SQL,数据分析,To B,https://www.zhipin.com/job_detail/8a6c29706e297b5a1n1829W9FlFY.html?lid=89AapUgEF39.search.20&securityId=wAQui6Hwi7yVX-z1XcCwLwivbwf1eNXyVffOhNfqXA-Fave-WT7HFES3UEDBvIUsluEuCF3rEoacUOakxCXCLXPiIMz3kxVi31eQnImBPkAkLY2Z
书声科技,4-5K,数据分析师（实习生）,在校/应届,学历不限,成都·武侯区·新会展中心,10000人以上,数据分析,数据挖掘,,https://www.zhipin.com/job_detail/966e1475aaa8eb881nRz3d-_F1FV.html?lid=89AapUgEF39.search.21&securityId=NKuD2MZbw7BHM-J12ix4W18inGjsAj3b6aMfbIYw35kfgCWT6dISQMUXONwx1RMM5H6ELvPjgeEvjQa4EVrnpNgOrTCvS3QLB7LcaDNEQajUJzSZ
饿了么,15-20K,资深数据分析师,3-5年,本科,成都·锦江区·天府广场,10000人以上,数据分析,商业分析,SQL,https://www.zhipin.com/job_detail/6d81411353849c861nR_2Nq5ElZX.html?lid=89AapUgEF39.search.22&securityId=DR1ZqM-ONM5rW-P13Skdw49BRine8ZqI0Kr6lDguGn9-BtNDJ4VnBoonsUls06sSL224UJnGL_tDvofmDic_BgzmE8TwpDf7JKtmUF7qdvCf
廊坊智慧环境,4-6K,数据分析师---成都,1-3年,大专,成都·锦江区·四川师大,10000人以上,数据分析,,,https://www.zhipin.com/job_detail/13d03e9735f6d2481nRy2du-EVZV.html?lid=89AapUgEF39.search.23&securityId=hge9VMxNZHbvH-K1Ewlf6v4lSRK76AncjhLEdDfiXoSUp5OOAqrlk1ZWPt2rKoPSizFNwvCEO5YxuOv5G-sDUeVFXjUlH82RwNPABymmrXMf9K9rtA~~
星合互娱,7-12K,游戏数据运营（游戏数据分析师）,1-3年,本科,成都·武侯区·银泰城,10000人以上,游戏,数据分析,SLG游戏,https://www.zhipin.com/job_detail/3e3a1c8c22ff108c1nR82Nu4EFVQ.html?lid=89AapUgEF39.search.24&securityId=YphRi54WBy6mK-U1lWSYFDRsuoasaOnTrKKV9dBVZ2JnjmGzBE0Iq3q2Z-_jawx04hmRJk2FfRewPxRzyeCHmNA4CgMEqEWmP7d4Iydg8kcL8M2BKQ~~
Nexa,9-14K,数据分析师（双休 五险一金）,3-5年,本科,成都·锦江区·合江亭,10000人以上,Python,Excel,SQL,https://www.zhipin.com/job_detail/e1b406bef01f1a0a1XZ539W9E1ZQ.html?lid=89AapUgEF39.search.25&securityId=bbi6aQ6nKFFJP-B1i7dA-botBsaDy2pKnaduXUx1P26uwJywnunXOSVCrQfsyR4sMqt0MpRaXLg-qC_MnWz0O1oEixl0HSr2bs93qwks2MQ1veVL
清环智源,5-10K,综合数据分析师（成都）,经验不限,硕士,成都·金牛区·营门口,10000人以上,大气物理,大气监测,成因分析,https://www.zhipin.com/job_detail/d4c18746009409f91nB83ty9F1JW.html?lid=89AapUgEF39.search.26&securityId=NMWXyZ7uwC9Zq-M16yKUJC2wh1bMsCZ-bf98yKZwWU0TIDfD4afIy6ZLKCEx0EoFwHG7acofAwNjpXM2WzgCf6vzlLmktDPPqrFwExkxd6-hfMiHtas~
斑马网络,20-40K·15薪,数据分析师,经验不限,本科,成都·武侯区·大源,10000人以上,C++,,,https://www.zhipin.com/job_detail/8a19926b113c75d81Xd70tq7ElNS.html?lid=89AapUgEF39.search.27&securityId=tBIUlXS6D99id-q1QtSBPC8mmOnz_GFUE-1S4wJOd5kF6nM5qqT2_Qm5m4sBSUgG1iCrU9-UYiOkeEW7J7aZux1qiHXoP0urkTV2Yl_g41RHEfgt
衫数科技,15-25K,数据分析师,3-5年,硕士,成都·双流区·华阳,10000人以上,Python,SQL,,https://www.zhipin.com/job_detail/d98dc862de2fed4a1XV42Ni4GFZQ.html?lid=89AapUgEF39.search.28&securityId=bAFiH51C8RxNJ-11eHlchd6zaiW95RmCP08xT4QADwcyK4S1oMD10RRSzVLeJkxY6DWvBFmGYgb3PZOPAUQo_1fdU_T9BFRDHYJumm90Z93j1OmVsA~~
云鉴未来,12-20K·15薪,数据分析师,1-3年,本科,成都·武侯区·石羊场,10000人以上,Python,SQL,决策树,https://www.zhipin.com/job_detail/3a4feb24edf8408d1XR52Nu8F1FS.html?lid=89AapUgEF39.search.29&securityId=bvES431NYW7G2-I1dcQWJme4psQvs2HNZGDcqJijEZuYQOE0DXgSKZBTSuFtzb0ShjoAeCgaHFEvYj1vqvIvx6doGN2GnZsmmFiT95Snt8FY8jCG4EY~
